#TE	Order	Superfamily	Clade	Complete	Strand	Domains
Aalpi_chr_2:31489932..31494520#DNA/DTM|Aalpi_chr_2:31489932..31494520#DNA/DTM	LINE	unknown	unknown	unknown	-	RT|LINE
Aalpi_chr_2:3259479..3252439#DNA/Helitron|Aalpi_chr_2:3259479..3252439#DNA/Helitron	LTR	Gypsy	Athila	no	-	GAG|Athila PROT|Athila
Aalpi_chr_2:33217410..33222411#DNA/DTT|Aalpi_chr_2:33217410..33222411#DNA/DTT	LINE	unknown	unknown	unknown	+	RH|LINE
Aalpi_chr_2:33541447..33546887#LTR/Gypsy|Aalpi_chr_2:33541447..33546887#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
Aalpi_chr_2:33646122..33651515#LTR/Gypsy|Aalpi_chr_2:33646122..33651515#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand PROT|Retand RT|Retand RH|Retand
Aalpi_chr_2:5443594..5454305#LTR/Gypsy|Aalpi_chr_2:5443594..5454305#LTR/Gypsy	LTR	Gypsy	CRM	yes	+	CHDCR|CRM GAG|CRM PROT|CRM RT|CRM RH|CRM INT|CRM
Aalpi_chr_2:9654768..9667987#DNA/Helitron|Aalpi_chr_2:9654768..9667987#DNA/Helitron	LTR	Gypsy	Tekay	yes	-	GAG|Tekay PROT|Tekay RT|Tekay RH|Tekay INT|Tekay CHD|Tekay
Aalpi_chr_2:9826212..9829017#DNA/DTC|Aalpi_chr_2:9826212..9829017#DNA/DTC	LINE	unknown	unknown	unknown	+	ENDO|LINE RT|LINE
Aalpi_chr_3:11022399..11023412#DNA/DTC|Aalpi_chr_3:11022399..11023412#DNA/DTC	LTR	Copia	SIRE	no	-	RH|SIRE
Aalpi_chr_3:11758229..11759496#DNA/DTM|Aalpi_chr_3:11758229..11759496#DNA/DTM	LINE	unknown	unknown	unknown	+	ENDO|LINE
Aalpi_chr_3:15505807..15514703#LTR/Gypsy|Aalpi_chr_3:15505807..15514703#LTR/Gypsy	LTR	Gypsy	Athila	no	-	GAG|Athila
Aalpi_chr_3:15657171..15665807#LTR/Gypsy|Aalpi_chr_3:15657171..15665807#LTR/Gypsy	LTR	Gypsy	Tekay	yes	+	GAG|Tekay PROT|Tekay RT|Tekay RH|Tekay INT|Tekay CHD|Tekay
Aalpi_chr_3:16320387..16324488#DNA/DTM|Aalpi_chr_3:16320387..16324488#DNA/DTM	TIR	MuDR_Mutator	unknown	unknown	-	TPase|MuDR_Mutator
Aalpi_chr_3:1659810..1669857#LTR/Gypsy|Aalpi_chr_3:1659810..1669857#LTR/Gypsy	LTR	Gypsy	Athila	yes	-	GAG|Athila PROT|Athila RT|Athila RH|Athila INT|Athila
Aalpi_chr_3:17006596..17012205#LTR/unknown|Aalpi_chr_3:17006596..17012205#LTR/unknown	LTR	Gypsy	Retand	no	+	RT|Retand RH|Retand
Aalpi_chr_3:18458993..18462279#DNA/DTM|Aalpi_chr_3:18458993..18462279#DNA/DTM	LTR	Copia	TAR	no	+	INT|TAR
Aalpi_chr_3:19601510..19607116#LTR/Gypsy|Aalpi_chr_3:19601510..19607116#LTR/Gypsy	LTR	Gypsy	Reina	yes	-	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
Aalpi_chr_3:2035176..2040169#LTR/Gypsy|Aalpi_chr_3:2035176..2040169#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
Aalpi_chr_3:20424076..20431489#LTR/Gypsy|Aalpi_chr_3:20424076..20431489#LTR/Gypsy	LTR	Gypsy	Tekay	no	-	GAG|Tekay PROT|Tekay RT|Tekay RH|Tekay CHD|Tekay
Aalpi_chr_3:21763021..21765328#DNA/DTM|Aalpi_chr_3:21763021..21765328#DNA/DTM	LTR	Copia	Ale	no	-	GAG|Ale PROT|Ale INT|Ale
Aalpi_chr_3:21856472..21861476#DNA/DTM|Aalpi_chr_3:21856472..21861476#DNA/DTM	LTR	Gypsy	Tekay	no	-	GAG|Tekay
Aalpi_chr_3:22076026..22085007#LTR/unknown|Aalpi_chr_3:22076026..22085007#LTR/unknown	LTR	Gypsy	Retand	no	+	GAG|Retand PROT|Retand
Aalpi_chr_3:22105991..22110887#DNA/DTM|Aalpi_chr_3:22105991..22110887#DNA/DTM	LTR	Gypsy	Tekay	no	-	GAG|Tekay
Aalpi_chr_3:22287938..22291663#DNA/DTM|Aalpi_chr_3:22287938..22291663#DNA/DTM	LINE	unknown	unknown	unknown	-	ENDO|LINE RT|LINE
Aalpi_chr_3:22727116..22739906#LTR/Gypsy|Aalpi_chr_3:22727116..22739906#LTR/Gypsy	LTR	Gypsy	Athila	yes	+	GAG|Athila PROT|Athila RT|Athila RH|Athila INT|Athila
Aalpi_chr_3:26780744..26784210#DNA/DTH|Aalpi_chr_3:26780744..26784210#DNA/DTH	LINE	unknown	unknown	unknown	-	RT|LINE RH|LINE
Aalpi_chr_3:26984670..26998719#LTR/Gypsy|Aalpi_chr_3:26984670..26998719#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	RT|Tekay INT|Tekay CHD|Tekay
Aalpi_chr_3:27568941..27572040#DNA/DTM|Aalpi_chr_3:27568941..27572040#DNA/DTM	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale
Aalpi_chr_3:28187364..28195424#LTR/Gypsy|Aalpi_chr_3:28187364..28195424#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay RT|Tekay INT|Tekay CHD|Tekay
Aalpi_chr_3:7903323..7916586#LTR/Copia|Aalpi_chr_3:7903323..7916586#LTR/Copia	LTR	Gypsy	Tekay	yes	-	GAG|Ale PROT|Ale RT|Tekay RH|Tekay INT|Tekay CHD|Tekay
Aalpi_chr_3:8256357..8257201#DNA/DTC|Aalpi_chr_3:8256357..8257201#DNA/DTC	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale
Aalpi_chr_3:8374741..8383548#LTR/Gypsy|Aalpi_chr_3:8374741..8383548#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	RT|Tekay RH|Tekay INT|Tekay CHD|Tekay
Aalpi_chr_3:8374961..8383332#LTR/Gypsy|Aalpi_chr_3:8374961..8383332#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	RT|Tekay RH|Tekay INT|Tekay CHD|Tekay
Aalpi_chr_3:8786834..8791512#DNA/DTA|Aalpi_chr_3:8786834..8791512#DNA/DTA	LINE	unknown	unknown	unknown	+	RT|LINE RH|LINE
Aalpi_chr_3:9130257..9143268#LTR/Gypsy|Aalpi_chr_3:9130257..9143268#LTR/Gypsy	LTR	Gypsy	Tekay	yes	-	GAG|Tekay PROT|Tekay RT|Tekay RH|Tekay INT|Tekay CHD|Tekay
Aalpi_chr_4:12069985..12078445#LTR/Gypsy|Aalpi_chr_4:12069985..12078445#LTR/Gypsy	LTR	Gypsy	Tekay	no	-	RT|Tekay RH|Tekay INT|Tekay CHD|Tekay
Aalpi_chr_4:14545344..14553938#LTR/Gypsy|Aalpi_chr_4:14545344..14553938#LTR/Gypsy	LTR	Gypsy	Tekay	no	-	GAG|Tekay PROT|Tekay RT|Tekay RH|Tekay CHD|Tekay
Aalpi_chr_4:17117260..17119320#DNA/Helitron|Aalpi_chr_4:17117260..17119320#DNA/Helitron	LTR	Gypsy	Retand	no	+	GAG|Retand
Aalpi_chr_4:17322071..17325161#DNA/DTA|Aalpi_chr_4:17322071..17325161#DNA/DTA	LTR	Gypsy	Tekay	no	-	CHD|Tekay
Aalpi_chr_4:17324679..17327767#DNA/DTA|Aalpi_chr_4:17324679..17327767#DNA/DTA	LTR	Gypsy	Tekay	no	-	CHD|Tekay
Aalpi_chr_4:17327286..17330376#DNA/DTA|Aalpi_chr_4:17327286..17330376#DNA/DTA	LTR	Gypsy	Tekay	no	-	CHD|Tekay
Aalpi_chr_4:17329892..17333286#DNA/DTA|Aalpi_chr_4:17329892..17333286#DNA/DTA	LTR	Gypsy	Tekay	no	-	CHD|Tekay
Aalpi_chr_4:24249382..24264119#LTR/Gypsy|Aalpi_chr_4:24249382..24264119#LTR/Gypsy	LTR	Gypsy	mixture	no	?	GAG|Athila PROT|Retand
Aalpi_chr_4:24807455..24809466#DNA/DTM|Aalpi_chr_4:24807455..24809466#DNA/DTM	LTR	Gypsy	Athila	no	-	INT|Athila
Aalpi_chr_4:25052643..25054173#DNA/DTM|Aalpi_chr_4:25052643..25054173#DNA/DTM	LTR	Gypsy	Athila	no	-	INT|Athila
Aalpi_chr_4:26399920..26407380#LTR/unknown|Aalpi_chr_4:26399920..26407380#LTR/unknown	LTR	Gypsy	Retand	no	+	GAG|Retand PROT|Retand
Aalpi_chr_4:26909225..26911231#DNA/DTM|Aalpi_chr_4:26909225..26911231#DNA/DTM	LTR	Gypsy	Athila	no	+	INT|Athila
Aalpi_chr_4:2713116..2718313#LTR/Gypsy|Aalpi_chr_4:2713116..2718313#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
Aalpi_chr_4:29226081..29241984#LTR/Gypsy|Aalpi_chr_4:29226081..29241984#LTR/Gypsy	LTR	Gypsy	Athila	no	-	GAG|Athila PROT|Athila
Aalpi_chr_4:29419000..29420003#DNA/DTC|Aalpi_chr_4:29419000..29420003#DNA/DTC	LTR	Copia	SIRE	no	-	RH|SIRE
Aalpi_chr_4:30298332..30309891#LTR/Gypsy|Aalpi_chr_4:30298332..30309891#LTR/Gypsy	LTR	Gypsy	Retand	yes	+	GAG|Retand PROT|Retand RT|Retand RH|Retand INT|Retand
Aalpi_chr_4:30298332..30309893#LTR/Gypsy|Aalpi_chr_4:30298332..30309893#LTR/Gypsy	LTR	Gypsy	Retand	yes	+	GAG|Retand PROT|Retand RT|Retand RH|Retand INT|Retand
Aalpi_chr_4:30474050..30486255#LTR/Gypsy|Aalpi_chr_4:30474050..30486255#LTR/Gypsy	LTR	Gypsy	Athila	yes	-	GAG|Athila PROT|Athila RT|Athila RH|Athila INT|Athila
Aalpi_chr_4:31416863..31430147#LTR/Gypsy|Aalpi_chr_4:31416863..31430147#LTR/Gypsy	LTR	Gypsy	Tekay	no	-	RT|Tekay INT|Tekay CHD|Tekay
Aalpi_chr_4:31942865..31955044#LTR/Gypsy|Aalpi_chr_4:31942865..31955044#LTR/Gypsy	LTR	Gypsy	Athila	yes	-	GAG|Athila PROT|Athila RT|Athila RH|Athila INT|Athila
Aalpi_chr_4:32197502..32205635#LTR/unknown|Aalpi_chr_4:32197502..32205635#LTR/unknown	LTR	Gypsy	CRM	no	-	GAG|CRM
Aalpi_chr_4:33117768..33132862#LTR/unknown|Aalpi_chr_4:33117768..33132862#LTR/unknown	LTR	Gypsy	Tekay	no	?	CHD|Tekay INT|Tekay RT|Tekay PROT|Tekay GAG|Tekay RH|Tork
Aalpi_chr_4:34794995..34801331#LTR/Gypsy|Aalpi_chr_4:34794995..34801331#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand PROT|Retand
Aalpi_chr_4:36149639..36150699#DNA/DTC|Aalpi_chr_4:36149639..36150699#DNA/DTC	TIR	hAT	unknown	unknown	+	TPase|hAT
Aalpi_chr_4:36492602..36496055#DNA/DTM|Aalpi_chr_4:36492602..36496055#DNA/DTM	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay RT|Tekay
Aalpi_chr_4:36899656..36907403#LTR/Gypsy|Aalpi_chr_4:36899656..36907403#LTR/Gypsy	LTR	Gypsy	CRM	no	-	GAG|CRM
Aalpi_chr_4:38338898..38348945#LTR/Gypsy|Aalpi_chr_4:38338898..38348945#LTR/Gypsy	LTR	Gypsy	Retand	yes	+	GAG|Retand PROT|Retand RT|Retand RH|Retand INT|Retand
Aalpi_chr_4:40992967..40995679#DNA/DTH|Aalpi_chr_4:40992967..40995679#DNA/DTH	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina RT|Reina RH|Reina
Aalpi_chr_4:45633865..45642356#LTR/Gypsy|Aalpi_chr_4:45633865..45642356#LTR/Gypsy	LTR	Gypsy	Tekay	yes	+	GAG|Tekay PROT|Tekay RT|Tekay RH|Tekay INT|Tekay CHD|Tekay
Aalpi_chr_4:49168321..49179964#LTR/Gypsy|Aalpi_chr_4:49168321..49179964#LTR/Gypsy	LTR	Gypsy	Retand	yes	+	GAG|Retand PROT|Retand RT|Retand RH|Retand INT|Retand
Aalpi_chr_4:49269458..49277918#LTR/Gypsy|Aalpi_chr_4:49269458..49277918#LTR/Gypsy	LTR	Gypsy	Tekay	no	-	RT|Tekay RH|Tekay INT|Tekay CHD|Tekay
Aalpi_chr_4:5151267..5166784#LTR/Gypsy|Aalpi_chr_4:5151267..5166784#LTR/Gypsy	LTR	Gypsy	Tekay	no	-	RT|Tekay RH|Tekay INT|Tekay GAG|Athila PROT|Athila CHD|Tekay
Aalpi_chr_4:6691270..6699347#LTR/Gypsy|Aalpi_chr_4:6691270..6699347#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	RT|chromo-unclass INT|Tekay CHD|Tekay
Aalpi_chr_5:11323628..11339693#LTR/Gypsy|Aalpi_chr_5:11323628..11339693#LTR/Gypsy	LTR	Gypsy	Retand	yes	-	GAG|Retand PROT|Retand RT|Retand RH|Retand INT|Retand
Aalpi_chr_5:15029406..15034628#LTR/Gypsy|Aalpi_chr_5:15029406..15034628#LTR/Gypsy	LTR	Gypsy	Reina	yes	-	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
Aalpi_chr_5:16716852..16736563#DNA/Helitron|Aalpi_chr_5:16716852..16736563#DNA/Helitron	LINE	unknown	unknown	unknown	+	ENDO|LINE RH|LINE
Aalpi_chr_5:18090340..18091339#DNA/DTC|Aalpi_chr_5:18090340..18091339#DNA/DTC	LTR	Copia	SIRE	no	+	RH|SIRE
Aalpi_chr_5:21336684..21349022#LTR/Gypsy|Aalpi_chr_5:21336684..21349022#LTR/Gypsy	LTR	Gypsy	Athila	yes	-	GAG|Athila PROT|Athila RT|Athila RH|Athila INT|Athila
Aalpi_chr_5:2550779..2562381#LTR/Gypsy|Aalpi_chr_5:2550779..2562381#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
Aalpi_chr_5:26050326..26062922#LTR/Gypsy|Aalpi_chr_5:26050326..26062922#LTR/Gypsy	LTR	Gypsy	Retand	yes	+	GAG|Retand PROT|Retand RT|Retand RH|Retand INT|Retand
Aalpi_chr_5:26222827..26227712#DNA/DTM|Aalpi_chr_5:26222827..26227712#DNA/DTM	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
Aalpi_chr_5:26375785..26382938#LTR/Gypsy|Aalpi_chr_5:26375785..26382938#LTR/Gypsy	LTR	Gypsy	Tekay	no	-	RT|Tekay INT|Tekay CHD|Tekay
Aalpi_chr_5:2816406..2824544#LTR/Gypsy|Aalpi_chr_5:2816406..2824544#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	RT|Tekay INT|Tekay CHD|Tekay
Aalpi_chr_5:4302915..4303604#DNA/DTC|Aalpi_chr_5:4302915..4303604#DNA/DTC	LTR	Copia	SIRE	no	-	GAG|SIRE
Aalpi_chr_5:4630033..4634821#DNA/DTC|Aalpi_chr_5:4630033..4634821#DNA/DTC	LINE	unknown	unknown	unknown	+	RH|LINE
Aalpi_chr_5:5730078..5734761#DNA/DTC|Aalpi_chr_5:5730078..5734761#DNA/DTC	LTR	Copia	Ale	no	+	GAG|Ale
Aalpi_chr_5:6482137..6486071#DNA/DTM|Aalpi_chr_5:6482137..6486071#DNA/DTM	TIR	MuDR_Mutator	unknown	unknown	-	TPase|MuDR_Mutator
Aalpi_chr_5:6637572..6642189#DNA/DTM|Aalpi_chr_5:6637572..6642189#DNA/DTM	LTR	Copia	Ale	yes	-	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
Aalpi_chr_5:8786685..8799548#LTR/Copia|Aalpi_chr_5:8786685..8799548#LTR/Copia	LTR	Gypsy	Tekay	no	-	GAG|Tork RT|Tekay RH|Tekay INT|Tekay CHD|Tekay PROT|Tork
Aalpi_chr_5:9506498..9516383#LTR/Gypsy|Aalpi_chr_5:9506498..9516383#LTR/Gypsy	LTR	Gypsy	Retand	no	?	PROT|Retand GAG|Retand
Aalpi_chr_6:10560701..10565922#LTR/Gypsy|Aalpi_chr_6:10560701..10565922#LTR/Gypsy	LTR	Gypsy	Reina	yes	-	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
Aalpi_chr_6:15717807..15729244#LTR/Gypsy|Aalpi_chr_6:15717807..15729244#LTR/Gypsy	LTR	Gypsy	Athila	yes	-	GAG|Athila PROT|Athila RT|Athila RH|Athila INT|Athila
Aalpi_chr_6:16294117..16301252#LTR/Gypsy|Aalpi_chr_6:16294117..16301252#LTR/Gypsy	LTR	Gypsy	Athila	no	+	GAG|Athila PROT|Athila
Aalpi_chr_6:16317169..16320641#DNA/DTC|Aalpi_chr_6:16317169..16320641#DNA/DTC	LTR	Copia	SIRE	no	+	RH|SIRE
Aalpi_chr_6:16500156..16505001#DNA/DTM|Aalpi_chr_6:16500156..16505001#DNA/DTM	TIR	MuDR_Mutator	unknown	unknown	+	TPase|MuDR_Mutator
Aalpi_chr_6:18849746..18854720#DNA/DTM|Aalpi_chr_6:18849746..18854720#DNA/DTM	LTR	Gypsy	Retand	no	-	INT|Retand
Aalpi_chr_6:1926423..1931262#LTR/Copia|Aalpi_chr_6:1926423..1931262#LTR/Copia	LTR	Copia	Ale	yes	-	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
Aalpi_chr_6:1926432..1931262#LTR/Copia|Aalpi_chr_6:1926432..1931262#LTR/Copia	LTR	Copia	Ale	yes	-	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
Aalpi_chr_6:21955175..21960707#LTR/Gypsy|Aalpi_chr_6:21955175..21960707#LTR/Gypsy	LTR	Gypsy	Reina	yes	-	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
Aalpi_chr_6:22112952..22122982#LTR/Gypsy|Aalpi_chr_6:22112952..22122982#LTR/Gypsy	LTR	Gypsy	Athila	yes	+	GAG|Athila PROT|Athila RT|Athila RH|Athila INT|Athila
Aalpi_chr_6:23233556..23250408#LTR/Gypsy|Aalpi_chr_6:23233556..23250408#LTR/Gypsy	LTR	Gypsy	Athila	yes	+	GAG|Athila PROT|Athila RT|Athila RH|Athila INT|Athila CHD|Tekay
Aalpi_chr_6:24773945..24778374#DNA/DTM|Aalpi_chr_6:24773945..24778374#DNA/DTM	TIR	hAT	unknown	unknown	-	TPase|hAT
Aalpi_chr_6:25402403..25404780#DNA/DTA|Aalpi_chr_6:25402403..25404780#DNA/DTA	LINE	unknown	unknown	unknown	+	RH|LINE
Aalpi_chr_6:25815054..25816683#DNA/DTM|Aalpi_chr_6:25815054..25816683#DNA/DTM	LINE	unknown	unknown	unknown	+	RT|LINE
Aalpi_chr_6:27400795..27412805#LTR/Gypsy|Aalpi_chr_6:27400795..27412805#LTR/Gypsy	LTR	Gypsy	Athila	yes	+	GAG|Athila PROT|Athila RT|Athila RH|Athila INT|Athila
