#TE	Order	Superfamily	Clade	Complete	Strand	Domains
TE_00000276|Echei_chr_4:19154365..19136772#DNA/Helitron	LINE	unknown	unknown	unknown	+	ENDO|LINE RT|LINE RH|LINE
TE_00000277|Echei_chr_4:19241969..19248406#DNA/Helitron	LINE	unknown	unknown	unknown	-	RH|LINE
TE_00000278|Echei_chr_4:19561775..19549420#DNA/Helitron	LINE	unknown	unknown	unknown	+	RH|LINE
TE_00000294|Echei_chr_2:3664775..3652179#DNA/Helitron	LTR	Copia	TAR	yes	+	GAG|TAR PROT|TAR INT|TAR RT|TAR RH|TAR
TE_00000312|Echei_chr_5:8364131..8378051#DNA/Helitron	LINE	unknown	unknown	unknown	-	RH|LINE
TE_00000314|Echei_chr_5:8568432..8573374#DNA/DTT	TIR	Tc1_Mariner	unknown	unknown	+	TPase|Tc1_Mariner
TE_00000323|Echei_chr_5:10314475..10308454#DNA/Helitron	LINE	unknown	unknown	unknown	+	RH|LINE
TE_00000334|Echei_chr_5:14629898..14618899#DNA/Helitron	Helitron	unknown	unknown	unknown	+	HEL1|Helitron HEL2|Helitron
TE_00000335|Echei_chr_5:14662230..14649233#DNA/Helitron	Helitron	unknown	unknown	unknown	+	HEL1|Helitron HEL2|Helitron
TE_00000340|Echei_chr_5:16290998..16273243#DNA/Helitron	LTR	Gypsy	Athila	no	+	RH|LINE GAG|Athila PROT|Athila
TE_00000341|Echei_chr_5:16548968..16568748#DNA/Helitron	LINE	unknown	unknown	unknown	+	RH|LINE
TE_00000343|Echei_chr_5:16942717..16952777#DNA/Helitron	LINE	unknown	unknown	unknown	+	RH|LINE
TE_00000344|Echei_chr_5:17129965..17149771#DNA/Helitron	LINE	unknown	unknown	unknown	+	ENDO|LINE RT|LINE RH|LINE
TE_00000346|Echei_chr_5:17377232..17380871#DNA/DTT	TIR	Tc1_Mariner	unknown	unknown	-	TPase|Tc1_Mariner
TE_00000352|Echei_chr_5:18408586..18404719#DNA/Helitron	LINE	unknown	unknown	unknown	+	RT|LINE
TE_00000357|Echei_chr_5:19728969..19745423#DNA/Helitron	LTR	Copia	Bianca	yes	-	GAG|Bianca PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
TE_00000361|Echei_chr_5:20235072..20219160#DNA/Helitron	LINE	unknown	unknown	unknown	?	RH|LINE RT|LINE HEL1|Helitron
TE_00000385|Echei_chr_6:4333547..4348869#DNA/Helitron	LTR	Gypsy	Athila	no	+	TPase|MuDR_Mutator GAG|Athila PROT|Athila
TE_00000387|Echei_chr_6:4422454..4408815#DNA/Helitron	LINE	unknown	unknown	unknown	-	RH|LINE
TE_00000389|Echei_chr_1:10858709..10867528#DNA/Helitron	LTR	Copia	SIRE	no	?	RT|SIRE PROT|SIRE GAG|SIRE RH|LINE
TE_00000389|Echei_chr_6:5414917..5428613#DNA/Helitron	LTR	Gypsy	Athila	no	+	GAG|Athila
TE_00000389|Echei_chr_6:5430355..5412168#DNA/Helitron	LTR	Gypsy	Athila	no	-	GAG|Athila
TE_00000400|Echei_chr_6:9374493..9356657#DNA/Helitron	LTR	Gypsy	Retand	no	-	GAG|Retand PROT|Retand RT|Retand aRH|Retand INT|Retand
TE_00000404|Echei_chr_6:9928870..9914310#DNA/Helitron	LTR	Copia	Angela	no	+	PROT|Angela INT|Angela RT|Angela
TE_00000405|Echei_chr_6:10082053..10071469#DNA/Helitron	LTR	Gypsy	CRM	no	+	RT|CRM RH|CRM INT|CRM
TE_00000407|Echei_chr_6:11406152..11423962#DNA/Helitron	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00000411|Echei_chr_6:13177006..13174084#DNA/Helitron	LTR	Gypsy	Reina	no	+	CHD|Reina
TE_00000414|Echei_chr_6:15056614..15073093#DNA/Helitron	LTR	Copia	TAR	yes	+	GAG|TAR PROT|TAR INT|TAR RT|TAR RH|TAR
TE_00000426|Echei_chr_6:19436232..19444853#DNA/Helitron	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00000438|Echei_chr_5:9450703..9448650#DNA/Helitron	LINE	unknown	unknown	unknown	+	RH|LINE
TE_00000438|Echei_chr_5:9595686..9597758#DNA/Helitron	LINE	unknown	unknown	unknown	+	RH|LINE
TE_00000438|Echei_chr_6:8224554..8222507#DNA/Helitron	LINE	unknown	unknown	unknown	+	RH|LINE
TE_00000439|Echei_chr_7:3105463..3117325#DNA/Helitron	LINE	unknown	unknown	unknown	-	ENDO|LINE RT|LINE RH|LINE
TE_00000440|Echei_chr_7:3724429..3707198#DNA/Helitron	LTR	Gypsy	Reina	no	+	RH|Reina
TE_00000448|Echei_chr_7:8562842..8573887#DNA/Helitron	TIR	hAT	unknown	unknown	+	TPase|hAT
TE_00000449|Echei_chr_7:8811247..8829937#DNA/Helitron	LTR	Copia	Ale	no	?	RH|Ale RT|Ale INT|Ale GAG|Angela PROT|Angela
TE_00000450|Echei_chr_7:8864685..8846424#DNA/Helitron	LTR	Copia	Ale	yes	-	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00000454|Echei_chr_7:9185126..9191404#DNA/Helitron	TIR	hAT	unknown	unknown	-	TPase|hAT
TE_00000474|Echei_chr_7:14577830..14572106#DNA/Helitron	LINE	unknown	unknown	unknown	-	RT|LINE RH|LINE
TE_00000475|Echei_chr_7:14970173..14955397#DNA/Helitron	LINE	unknown	unknown	unknown	-	RH|LINE
TE_00000484|Echei_chr_7:18984766..18993403#DNA/Helitron	mixture	mixture	unknown	unknown	+	RH|LINE PROT|Gymco-II
TE_00000505|Echei_chr_1:8718798..8728539#LTR/Gypsy	LTR	Gypsy	Athila	yes	-	GAG|Athila PROT|Athila RT|Athila RH|Athila INT|Athila
TE_00000505|Echei_chr_1:8781695..8792860#LTR/Gypsy	LTR	Gypsy	Athila	yes	+	GAG|Athila PROT|Athila RT|Athila RH|Athila INT|Athila
TE_00000505|Echei_chr_6:5862702..5874434#LTR/Gypsy	LTR	Gypsy	Athila	no	+	PROT|Athila RT|Athila RH|Athila INT|Athila
TE_00000505|Echei_chr_7:6045389..6054988#LTR/Gypsy	LTR	Gypsy	Athila	yes	-	GAG|Athila PROT|Athila RT|Athila RH|Athila INT|Athila
TE_00000505|Echei_chr_8:6119214..6128953#LTR/Gypsy	LTR	Gypsy	Athila	yes	-	GAG|Athila PROT|Athila RT|Athila RH|Athila INT|Athila
TE_00000506|Echei_chr_8:6215342..6209120#DNA/Helitron	Helitron	unknown	unknown	unknown	+	HEL1|Helitron HEL2|Helitron
TE_00000509|Echei_chr_8:7156440..7141691#DNA/Helitron	LTR	Copia	Bianca	no	?	RT|pararetrovirus RH|non-chromo-outgroup INT|Bianca PROT|Bianca GAG|Bianca
TE_00000513|Echei_chr_8:7787493..7800290#DNA/Helitron	LINE	unknown	unknown	unknown	-	RT|LINE RH|LINE
TE_00000515|Echei_chr_8:8254316..8261213#DNA/Helitron	LTR	Gypsy	Reina	no	-	RH|Reina
TE_00000516|Echei_chr_8:8574320..8584655#DNA/Helitron	LINE	unknown	unknown	unknown	+	RH|LINE
TE_00000517|Echei_chr_8:8659648..8673707#DNA/Helitron	LTR	Copia	Ivana	yes	+	GAG|Ivana PROT|Ivana INT|Ivana RT|Ivana RH|Ivana
TE_00000523|Echei_chr_8:10634564..10637430#DNA/DTM	LTR	Gypsy	Tekay	no	-	CHD|Tekay
TE_00000524|Echei_chr_8:11988690..11969121#DNA/Helitron	LINE	unknown	unknown	unknown	-	ENDO|LINE RT|LINE RH|LINE
TE_00000547|Echei_chr_2:4287154..4294406#LTR/unknown	LTR	Gypsy	Athila	no	-	PROT|Athila
TE_00000547|Echei_chr_7:5696964..5704657#LTR/unknown	LTR	Gypsy	Athila	no	+	GAG|Athila
TE_00000549|Echei_chr_8:5689429..5694630#LTR/unknown	LTR	Gypsy	CRM	no	+	GAG|CRM CHDCR|CRM
TE_00000557|Echei_chr_1:11293485..11305713#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand PROT|Retand RT|Retand aRH|Retand INT|Retand
TE_00000564|Echei_chr_5:15638368..15643409#LTR/Copia	LTR	Copia	Ale	yes	-	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00000567|Echei_chr_2:10434166..10436036#LTR/Gypsy	LTR	Gypsy	CRM	no	-	GAG|CRM
TE_00000567|Echei_chr_2:9217609..9219479#LTR/Gypsy	LTR	Gypsy	CRM	no	-	GAG|CRM
TE_00000567|Echei_chr_3:22070971..22072869#LTR/Gypsy	LTR	Gypsy	CRM	no	-	GAG|CRM
TE_00000567|Echei_chr_3:3509229..3511441#LTR/Gypsy	LTR	Gypsy	CRM	no	-	GAG|CRM
TE_00000567|Echei_chr_4:14446183..14448068#LTR/unknown	LTR	Gypsy	CRM	no	-	GAG|CRM
TE_00000567|Echei_chr_4:15455819..15457697#LTR/unknown	LTR	Gypsy	CRM	no	+	GAG|CRM
TE_00000567|Echei_chr_4:20690652..20692541#LTR/Gypsy	LTR	Gypsy	CRM	no	-	GAG|CRM
TE_00000567|Echei_chr_4:27052..28968#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM
TE_00000567|Echei_chr_4:8537298..8539214#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM
TE_00000567|Echei_chr_5:12088023..12089926#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM
TE_00000567|Echei_chr_6:1441387..1443237#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM
TE_00000567|Echei_chr_6:20889..22739#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM
TE_00000567|Echei_chr_6:9211..11061#LTR/Gypsy	LTR	Gypsy	CRM	no	-	GAG|CRM
TE_00000567|Echei_chr_8:4859011..4860912#LTR/Gypsy	LTR	Gypsy	CRM	no	-	GAG|CRM
TE_00000567|Echei_chr_8:6409674..6411897#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM
TE_00000567|Echei_chr_8:6532691..6534914#LTR/Gypsy	LTR	Gypsy	CRM	no	-	GAG|CRM
TE_00000569|Echei_chr_5:6796499..6801363#LTR/Copia	LTR	Copia	Ale	yes	-	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00000572|Echei_chr_1:8222130..8229071#LTR/Copia	LTR	Copia	Angela	no	-	GAG|Angela PROT|Angela INT|Angela
TE_00000572|Echei_chr_4:13040710..13047694#LTR/Copia	LTR	Copia	Angela	no	-	GAG|Angela PROT|Angela INT|Angela RT|Angela
TE_00000572|Echei_chr_4:13096299..13103306#LTR/Copia	LTR	Copia	Angela	no	-	GAG|Angela PROT|Angela INT|Angela RT|Angela
TE_00000572|Echei_chr_6:3744380..3751380#LTR/Copia	LTR	Copia	Angela	no	-	GAG|Angela PROT|Angela INT|Angela
TE_00000572|Echei_chr_6:8693657..8700541#LTR/Copia	LTR	Copia	Angela	no	-	GAG|Angela PROT|Angela INT|Angela RT|Angela
